tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
475,20:37.8,28:32.9,3203,Hamilton Park,40.72759597,-74.04424731,3276,Marin Light Rail,40.71458404,-74.04281706,42374,Subscriber,1985,1
425,22:50.1,29:55.2,3640,Journal Square,40.73367,-74.0625,3210,Pershing Field,40.74267714,-74.05178863,42459,Subscriber,1986,1
595,23:42.9,33:38.7,3639,Harborside,40.7192517,-74.034234,3199,Newport Pkwy,40.7287448,-74.0321082,42621,Subscriber,1994,2
232,25:37.9,29:30.8,3199,Newport Pkwy,40.7287448,-74.0321082,3638,Washington St,40.7242941,-74.0354826,42230,Subscriber,1991,1
168,28:33.4,31:22.3,3185,City Hall,40.7177325,-74.043845,3483,Montgomery St,40.71942,-74.05099,42314,Subscriber,1958,1
491,31:39.2,39:50.8,3211,Newark Ave,40.72152515,-74.04630454,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,42264,Subscriber,1995,2
607,32:01.2,42:09.1,3196,Riverview Park,40.7443187,-74.0439909,3207,Oakland Ave,40.7376037,-74.0524783,42502,Subscriber,1994,1
310,34:50.4,40:01.1,3202,Newport PATH,40.7272235,-74.0337589,3272,Jersey & 3rd,40.72333159,-74.04595256,42492,Subscriber,1993,0
477,37:26.2,45:23.5,3202,Newport PATH,40.7272235,-74.0337589,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,42299,Customer,1987,1
296,42:05.0,47:01.5,3184,Paulus Hook,40.7141454,-74.0335519,3638,Washington St,40.7242941,-74.0354826,42487,Subscriber,1986,2
956,46:33.8,02:30.7,3280,Astor Place,40.7192822,-74.07126188,3186,Grove St PATH,40.71958612,-74.04311746,42203,Subscriber,1984,2
216,47:55.1,51:32.0,3199,Newport Pkwy,40.7287448,-74.0321082,3638,Washington St,40.7242941,-74.0354826,42189,Subscriber,1988,2
577,50:39.8,00:17.4,3194,McGinley Square,40.72533993,-74.06762213,3191,Union St,40.7182113,-74.0836394,42616,Subscriber,1987,1
621,56:09.9,06:31.3,3184,Paulus Hook,40.7141454,-74.0335519,3192,Liberty Light Rail,40.7112423,-74.0557013,42520,Subscriber,1992,1
80,56:44.7,58:04.8,3185,City Hall,40.7177325,-74.043845,3213,Van Vorst Park,40.71848892,-74.04772663,42122,Subscriber,1989,1
341,03:13.0,08:54.1,3639,Harborside,40.7192517,-74.034234,3186,Grove St PATH,40.71958612,-74.04311746,42224,Subscriber,1990,1
963,10:07.9,26:11.1,3273,Manila & 1st,40.72165072,-74.04288411,3191,Union St,40.7182113,-74.0836394,42298,Subscriber,1991,1
300,12:09.4,17:09.8,3273,Manila & 1st,40.72165072,-74.04288411,3269,Brunswick & 6th,40.72601173,-74.05038893,42156,Subscriber,1989,1
374,20:55.6,27:10.1,3639,Harborside,40.7192517,-74.034234,3203,Hamilton Park,40.72759597,-74.04424731,42452,Subscriber,1986,1
754,21:29.2,34:03.8,3681,Grand St,40.71517768,-74.03768331,3268,Lafayette Park,40.71346383,-74.06285852,42108,Subscriber,1975,1
1352,22:17.1,44:49.8,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,42621,Subscriber,1969,1
356,24:57.8,30:53.9,3184,Paulus Hook,40.7141454,-74.0335519,3214,Essex Light Rail,40.7127742,-74.0364857,42242,Subscriber,1975,1
305,37:12.8,42:18.4,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.7308971,-74.06391263,42402,Subscriber,1983,1
339,39:13.5,44:52.9,3184,Paulus Hook,40.7141454,-74.0335519,3213,Van Vorst Park,40.71848892,-74.04772663,42377,Subscriber,1986,1
260,45:15.4,49:36.4,3186,Grove St PATH,40.71958612,-74.04311746,3211,Newark Ave,40.72152515,-74.04630454,42224,Subscriber,1993,2
752,45:27.0,57:59.7,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,42621,Subscriber,1969,1
987,48:38.7,05:06.2,3273,Manila & 1st,40.72165072,-74.04288411,3679,Bergen Ave,40.72210379,-74.071455,42406,Subscriber,1985,1
271,48:42.1,53:13.3,3273,Manila & 1st,40.72165072,-74.04288411,3209,Brunswick St,40.7241765,-74.0506564,42329,Subscriber,1984,1
226,53:47.1,57:33.8,3195,Sip Ave,40.7308971,-74.06391263,3201,Dey St,40.737711,-74.066921,42402,Subscriber,1958,1
578,01:45.6,11:24.2,3638,Washington St,40.7242941,-74.0354826,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,42238,Customer,1976,1
854,16:04.2,30:18.4,3281,Leonard Gordon Park,40.74590997,-74.05727148,3195,Sip Ave,40.7308971,-74.06391263,42271,Subscriber,1998,1
185,20:21.2,23:26.7,3186,Grove St PATH,40.71958612,-74.04311746,3279,Dixon Mills,40.72163014,-74.04996783,42203,Subscriber,1986,1
2059,21:43.8,56:03.5,3678,Fairmount Ave,40.72572614,-74.07195926,3678,Fairmount Ave,40.72572614,-74.07195926,42157,Customer,1969,0
496,25:42.9,33:59.3,3194,McGinley Square,40.72533993,-74.06762213,3280,Astor Place,40.7192822,-74.07126188,42433,Customer,1995,2
318,28:35.0,33:53.8,3194,McGinley Square,40.72533993,-74.06762213,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,42367,Subscriber,2001,2
520,47:53.7,56:34.1,3185,City Hall,40.7177325,-74.043845,3268,Lafayette Park,40.71346383,-74.06285852,42281,Subscriber,1978,1
339,57:20.7,03:00.0,3195,Sip Ave,40.7308971,-74.06391263,3280,Astor Place,40.7192822,-74.07126188,42271,Subscriber,1988,1
731,29:33.7,41:44.9,3207,Oakland Ave,40.7376037,-74.0524783,3679,Bergen Ave,40.72210379,-74.071455,42118,Subscriber,1984,1
398,42:21.9,49:00.1,3273,Manila & 1st,40.72165072,-74.04288411,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,42241,Subscriber,1984,1
862,31:41.6,46:04.4,3185,City Hall,40.7177325,-74.043845,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,42225,Subscriber,1987,1
305,30:22.1,35:27.9,3273,Manila & 1st,40.72165072,-74.04288411,3203,Hamilton Park,40.72759597,-74.04424731,42151,Subscriber,1988,2
347,43:24.8,49:12.4,3273,Manila & 1st,40.72165072,-74.04288411,3209,Brunswick St,40.7241765,-74.0506564,42324,Customer,1994,1
777,32:19.5,45:17.5,3269,Brunswick & 6th,40.72601173,-74.05038893,3202,Newport PATH,40.7272235,-74.0337589,42592,Customer,1988,1
